canonical_id,candidate_rank,candidate_stock_code,candidate_company,similarity,accepted
1,1,601628.SH,中国人寿保险股份有限公司,77.42,False
1,2,601336.SH,新华人寿保险股份有限公司,75.0,False
1,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
2,1,603659.SH,上海璞泰来新能源科技集团股份有限公司,94.12,True
2,2,000909.SZ,数源科技股份有限公司,85.26,False
2,3,603628.SH,清源科技股份有限公司,85.26,False
3,1,300955.SZ,嘉亨家化股份有限公司,100.0,True
3,2,603630.SH,拉芳家化股份有限公司,80.0,False
3,3,002058.SZ,上海威尔泰工业自动化股份有限公司,74.12,False
4,1,601336.SH,新华人寿保险股份有限公司,75.0,False
4,2,601628.SH,中国人寿保险股份有限公司,75.0,False
4,3,601318.SH,中国平安保险(集团)股份有限公司,72.0,True
5,1,002977.SZ,成都天箭科技股份有限公司,100.0,True
5,2,300019.SZ,成都硅宝科技股份有限公司,83.33,False
5,3,300101.SZ,成都振芯科技股份有限公司,83.33,False
6,1,001259.SZ,北京利仁科技股份有限公司,83.33,False
6,2,002373.SZ,北京千方科技股份有限公司,83.33,False
6,3,003007.SZ,北京直真科技股份有限公司,83.33,False
7,1,689009.SH,九号有限公司,72.0,False
7,2,688373.SH,上海盟科药业股份有限公司,66.67,False
7,3,688728.SH,格科微有限公司,65.45,False
8,1,601788.SH,光大证券股份有限公司,100.0,True
8,2,000686.SZ,东北证券股份有限公司,80.0,False
8,3,000728.SZ,国元证券股份有限公司,80.0,False
9,1,301379.SZ,广西天山电子股份有限公司,100.0,True
9,2,000050.SZ,天马微电子股份有限公司,78.26,False
9,3,000570.SZ,常柴股份有限公司,77.14,False
10,1,000570.SZ,常柴股份有限公司,77.14,False
10,2,000709.SZ,河钢股份有限公司,77.14,False
10,3,000898.SZ,鞍钢股份有限公司,77.14,False
11,1,600903.SH,贵州燃气集团股份有限公司,100.0,True
11,2,600917.SH,重庆燃气集团股份有限公司,83.33,False
11,3,603053.SH,成都燃气集团股份有限公司,83.33,False
12,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
12,2,000570.SZ,常柴股份有限公司,67.5,False
12,3,000709.SZ,河钢股份有限公司,67.5,False
13,1,920914.BJ,江苏远航精密合金科技股份有限公司,100.0,True
13,2,002202.SZ,金风科技股份有限公司,85.26,False
13,3,003018.SZ,金富科技股份有限公司,85.26,False
14,1,603125.SH,江苏常青树新材料科技股份有限公司,100.0,True
14,2,603276.SH,江苏恒兴新材料科技股份有限公司,83.87,False
14,3,300806.SZ,江苏斯迪克新材料科技股份有限公司,81.25,False
15,1,601628.SH,中国人寿保险股份有限公司,77.42,False
15,2,601336.SH,新华人寿保险股份有限公司,75.0,False
15,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
16,1,000570.SZ,常柴股份有限公司,67.5,False
16,2,000709.SZ,河钢股份有限公司,67.5,False
16,3,000898.SZ,鞍钢股份有限公司,67.5,False
17,1,920006.BJ,江苏晟楠电子科技股份有限公司,100.0,True
17,2,301106.SZ,江苏骏成电子科技股份有限公司,85.71,False
17,3,688060.SH,江苏云涌电子科技股份有限公司,85.71,False
18,1,002988.SZ,广东豪美新材股份有限公司,100.0,True
18,2,300586.SZ,广东美联新材料股份有限公司,88.0,False
18,3,001212.SZ,广东中旗新材料股份有限公司,80.0,False
20,1,603906.SH,江苏龙蟠科技集团股份有限公司,92.31,True
20,2,002090.SZ,江苏金智科技股份有限公司,83.33,False
20,3,002409.SZ,江苏雅克科技股份有限公司,83.33,False
21,1,688002.SH,烟台睿创微纳技术股份有限公司,100.0,True
21,2,000570.SZ,常柴股份有限公司,77.14,False
21,3,000709.SZ,河钢股份有限公司,77.14,False
22,1,300498.SZ,温氏食品集团股份有限公司,92.31,False
22,2,001201.SZ,东瑞食品集团股份有限公司,84.62,False
22,3,000570.SZ,常柴股份有限公司,77.14,False
23,1,688528.SH,成都秦川物联网科技股份有限公司,100.0,True
23,2,300017.SZ,网宿科技股份有限公司,85.26,False
23,3,002250.SZ,联化科技股份有限公司,81.0,False
24,1,920275.BJ,广东驱动力生物科技集团股份有限公司,93.75,True
24,2,300639.SZ,广东凯普生物科技股份有限公司,82.76,False
24,3,920123.BJ,广东芭薇生物科技股份有限公司,82.76,False
25,1,300940.SZ,深圳市南极光电子科技股份有限公司,100.0,True
25,2,002121.SZ,深圳市科陆电子科技股份有限公司,83.87,False
25,3,300656.SZ,深圳市民德电子科技股份有限公司,83.87,False
26,1,301042.SZ,珠海安联锐视科技股份有限公司,100.0,True
26,2,000570.SZ,常柴股份有限公司,77.14,False
26,3,000709.SZ,河钢股份有限公司,77.14,False
27,1,603078.SH,江阴江化微电子材料股份有限公司,100.0,True
27,2,000877.SZ,天山材料股份有限公司,80.0,False
27,3,000570.SZ,常柴股份有限公司,77.14,False
29,1,300992.SZ,浙江泰福泵业股份有限公司,100.0,True
29,2,603757.SH,浙江大元泵业股份有限公司,83.33,False
29,3,003036.SZ,浙江泰坦股份有限公司,81.82,False
30,1,689009.SH,九号有限公司,72.0,False
30,2,603506.SH,南都物业服务集团股份有限公司,69.23,False
30,3,688728.SH,格科微有限公司,65.45,False
31,1,300963.SZ,上海中洲特种合金材料股份有限公司,100.0,True
31,2,000877.SZ,天山材料股份有限公司,80.0,False
31,3,002324.SZ,上海普利特复合材料股份有限公司,77.42,False
32,1,688696.SH,极米科技股份有限公司,90.91,True
32,2,002977.SZ,成都天箭科技股份有限公司,83.33,False
32,3,300019.SZ,成都硅宝科技股份有限公司,83.33,False
33,1,603139.SH,陕西康惠制药股份有限公司,100.0,True
33,2,000570.SZ,常柴股份有限公司,77.14,False
33,3,000709.SZ,河钢股份有限公司,77.14,False
34,1,603016.SH,无锡新宏泰电器科技股份有限公司,100.0,True
34,2,000409.SZ,云鼎科技股份有限公司,80.0,False
34,3,000551.SZ,创元科技股份有限公司,80.0,False
35,1,689009.SH,九号有限公司,72.0,False
35,2,688728.SH,格科微有限公司,65.45,False
35,3,301369.SZ,佛山市联动科技股份有限公司,61.54,False
36,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
36,2,000570.SZ,常柴股份有限公司,67.5,False
36,3,000709.SZ,河钢股份有限公司,67.5,False
37,1,000570.SZ,常柴股份有限公司,77.14,False
37,2,000709.SZ,河钢股份有限公司,77.14,False
37,3,000898.SZ,鞍钢股份有限公司,77.14,False
38,1,300930.SZ,杭州屹通新材料股份有限公司,100.0,True
38,2,688219.SH,会通新材料股份有限公司,83.33,False
38,3,300478.SZ,杭州高新材料科技股份有限公司,81.48,False
39,1,301622.SZ,包头市英思特稀磁新材料股份有限公司,100.0,True
39,2,002521.SZ,齐峰新材料股份有限公司,81.0,False
39,3,300848.SZ,美瑞新材料股份有限公司,81.0,False
40,1,001231.SZ,农心作物科技股份有限公司,100.0,True
40,2,000570.SZ,常柴股份有限公司,77.14,False
40,3,000709.SZ,河钢股份有限公司,77.14,False
41,1,603677.SH,奇精机械股份有限公司,100.0,True
41,2,300988.SZ,天津津荣天宇精密机械股份有限公司,81.0,False
41,3,920693.BJ,上海阿为特精密机械股份有限公司,81.0,False
42,1,603188.SH,江苏亚邦染料股份有限公司,100.0,True
42,2,000570.SZ,常柴股份有限公司,77.14,False
42,3,000709.SZ,河钢股份有限公司,77.14,False
43,1,603188.SH,江苏亚邦染料股份有限公司,100.0,True
43,2,000570.SZ,常柴股份有限公司,77.14,False
43,3,000709.SZ,河钢股份有限公司,77.14,False
44,1,601336.SH,新华人寿保险股份有限公司,75.0,False
44,2,601628.SH,中国人寿保险股份有限公司,75.0,False
44,3,601318.SH,中国平安保险(集团)股份有限公司,72.0,True
45,1,603171.SH,税友软件集团股份有限公司,100.0,True
45,2,600718.SH,东软集团股份有限公司,81.82,False
45,3,000570.SZ,常柴股份有限公司,77.14,False
46,1,301398.SZ,宁波星源卓镁技术股份有限公司,100.0,True
46,2,000570.SZ,常柴股份有限公司,77.14,False
46,3,000709.SZ,河钢股份有限公司,77.14,False
47,1,002777.SZ,四川久远银海软件股份有限公司,100.0,True
47,2,002073.SZ,软控股份有限公司,78.75,False
47,3,000570.SZ,常柴股份有限公司,77.14,False
48,1,002104.SZ,恒宝股份有限公司,84.0,False
48,2,000570.SZ,常柴股份有限公司,77.14,False
48,3,000709.SZ,河钢股份有限公司,77.14,False
49,1,605068.SH,明新旭腾新材料股份有限公司,100.0,True
49,2,688560.SH,明冠新材料股份有限公司,83.33,False
49,3,603110.SH,新东方新材料股份有限公司,80.0,False
51,1,301086.SZ,深圳市鸿富瀚科技股份有限公司,100.0,True
51,2,688318.SH,深圳市财富趋势科技股份有限公司,82.76,False
51,3,001283.SZ,深圳市豪鹏科技股份有限公司,81.48,False
52,1,603917.SH,宁波合力科技股份有限公司,84.62,False
52,2,603662.SH,宁波柯力传感科技股份有限公司,78.57,False
52,3,000570.SZ,常柴股份有限公司,77.14,False
54,1,689009.SH,九号有限公司,72.0,False
54,2,300386.SZ,飞天诚信科技股份有限公司,63.64,False
54,3,000026.SZ,飞亚达精密科技股份有限公司,60.87,False
55,1,603638.SH,烟台艾迪精密机械股份有限公司,100.0,True
55,2,603190.SH,烟台亚通精工机械股份有限公司,78.57,False
55,3,000570.SZ,常柴股份有限公司,77.14,False
56,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
56,2,000570.SZ,常柴股份有限公司,67.5,False
56,3,000709.SZ,河钢股份有限公司,67.5,False
57,1,603200.SH,上海洗霸科技股份有限公司,100.0,True
57,2,002195.SZ,上海岩山科技股份有限公司,83.33,False
57,3,002605.SZ,上海姚记科技股份有限公司,83.33,False
58,1,301098.SZ,金埔园林股份有限公司,80.0,False
58,2,300100.SZ,双林股份有限公司,77.78,False
58,3,600099.SH,林海股份有限公司,77.78,False
59,1,300912.SZ,凯龙高科技股份有限公司,100.0,True
59,2,301510.SZ,固高科技股份有限公司,85.71,False
59,3,600552.SH,凯盛科技股份有限公司,85.71,False
60,1,601336.SH,新华人寿保险股份有限公司,75.0,False
60,2,601628.SH,中国人寿保险股份有限公司,75.0,False
60,3,601318.SH,中国平安保险(集团)股份有限公司,72.0,True
61,1,601628.SH,中国人寿保险股份有限公司,77.42,False
61,2,601336.SH,新华人寿保险股份有限公司,75.0,False
61,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
62,1,002789.SZ,深圳市建艺装饰集团股份有限公司,100.0,True
62,2,000016.SZ,康佳集团股份有限公司,80.0,False
62,3,000055.SZ,方大集团股份有限公司,80.0,False
63,1,603229.SH,浙江奥翔药业股份有限公司,100.0,True
63,2,002099.SZ,浙江海翔药业股份有限公司,91.67,False
63,3,001367.SZ,浙江海森药业股份有限公司,83.33,False
64,1,689009.SH,九号有限公司,72.0,False
64,2,002189.SZ,中光学集团股份有限公司,66.67,False
64,3,300560.SZ,中富通集团股份有限公司,66.67,False
65,1,000570.SZ,常柴股份有限公司,67.5,False
65,2,000709.SZ,河钢股份有限公司,67.5,False
65,3,000898.SZ,鞍钢股份有限公司,67.5,False
66,1,002965.SZ,祥鑫科技股份有限公司,100.0,True
66,2,002015.SZ,协鑫能源科技股份有限公司,81.82,False
66,3,002506.SZ,协鑫集成科技股份有限公司,81.82,False
67,1,301019.SZ,宁波色母粒股份有限公司,100.0,True
67,2,002142.SZ,宁波银行股份有限公司,76.19,False
67,3,002164.SZ,宁波东力股份有限公司,76.19,False
68,1,688016.SH,上海微创心脉医疗科技(集团)股份有限公司,88.89,True
68,2,688351.SH,上海微创电生理医疗科技股份有限公司,84.85,False
68,3,000409.SZ,云鼎科技股份有限公司,80.0,False
69,1,301069.SZ,山东凯盛新材料股份有限公司,100.0,True
69,2,301149.SZ,山东隆华新材料股份有限公司,84.62,False
69,3,301617.SZ,山东博苑新材料股份有限公司,84.62,False
70,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
70,2,000570.SZ,常柴股份有限公司,67.5,False
70,3,000709.SZ,河钢股份有限公司,67.5,False
71,1,601336.SH,新华人寿保险股份有限公司,75.0,False
71,2,601628.SH,中国人寿保险股份有限公司,75.0,False
71,3,601319.SH,中国人民保险集团股份有限公司,70.71,False
72,1,301487.SZ,天津国安盟固利新材料科技股份有限公司,100.0,True
72,2,002080.SZ,中材科技股份有限公司,81.0,False
72,3,000409.SZ,云鼎科技股份有限公司,80.0,False
73,1,688599.SH,天合光能股份有限公司,100.0,True
73,2,300332.SZ,天壕能源股份有限公司,80.0,False
73,3,600501.SH,航天晨光股份有限公司,80.0,False
74,1,300674.SZ,北京宇信科技集团股份有限公司,100.0,True
74,2,002350.SZ,北京科锐集团股份有限公司,84.62,False
74,3,002637.SZ,赞宇科技集团股份有限公司,84.62,False
75,1,300553.SZ,杭州集智机电股份有限公司,100.0,True
75,2,001225.SZ,杭州和泰机电股份有限公司,83.33,False
75,3,603618.SH,杭州电缆股份有限公司,81.82,False
76,1,689009.SH,九号有限公司,72.0,False
76,2,603392.SH,北京万泰生物药业股份有限公司,69.23,False
76,3,300552.SZ,北京万集科技股份有限公司,66.67,False
77,1,000570.SZ,常柴股份有限公司,67.5,False
77,2,000709.SZ,河钢股份有限公司,67.5,False
77,3,000898.SZ,鞍钢股份有限公司,67.5,False
78,1,601336.SH,新华人寿保险股份有限公司,75.0,False
78,2,601628.SH,中国人寿保险股份有限公司,75.0,False
78,3,601318.SH,中国平安保险(集团)股份有限公司,72.0,True
79,1,601628.SH,中国人寿保险股份有限公司,77.42,False
79,2,601336.SH,新华人寿保险股份有限公司,75.0,False
79,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
80,1,688212.SH,上海澳华内镜股份有限公司,100.0,True
80,2,600621.SH,上海华鑫股份有限公司,81.82,False
80,3,000570.SZ,常柴股份有限公司,77.14,False
81,1,689009.SH,九号有限公司,72.0,False
81,2,688728.SH,格科微有限公司,65.45,False
81,3,603506.SH,南都物业服务集团股份有限公司,64.29,False
83,1,920527.BJ,浙江夜光明光电科技股份有限公司,100.0,True
83,2,002273.SZ,浙江水晶光电科技股份有限公司,82.76,False
83,3,001333.SZ,浙江光华科技股份有限公司,81.48,False
84,1,300792.SZ,杭州壹网壹创科技股份有限公司,100.0,True
84,2,300113.SZ,杭州顺网科技股份有限公司,84.62,False
84,3,603258.SH,杭州电魂网络科技股份有限公司,78.57,False
85,1,301283.SZ,聚胶新材料股份有限公司,100.0,True
85,2,605166.SH,聚合顺新材料股份有限公司,86.96,False
85,3,688503.SH,常州聚和新材料股份有限公司,83.33,False
86,1,689009.SH,九号有限公司,72.0,False
86,2,688728.SH,格科微有限公司,65.45,False
86,3,000002.SZ,万科企业股份有限公司,63.64,True
87,1,689009.SH,九号有限公司,72.0,False
87,2,688728.SH,格科微有限公司,65.45,False
87,3,688526.SH,武汉科前生物股份有限公司,64.0,False
88,1,603126.SH,中材节能股份有限公司,100.0,True
88,2,002643.SZ,中节能万润股份有限公司,85.71,False
88,3,000591.SZ,中节能太阳能股份有限公司,81.82,False
89,1,002705.SZ,广东新宝电器股份有限公司,80.0,False
89,2,000570.SZ,常柴股份有限公司,77.14,False
89,3,000709.SZ,河钢股份有限公司,77.14,False
90,1,688793.SH,深圳市倍轻松科技股份有限公司,100.0,True
90,2,001283.SZ,深圳市豪鹏科技股份有限公司,81.48,False
90,3,001308.SZ,深圳市康冠科技股份有限公司,81.48,False
91,1,920098.BJ,陕西科隆新材料科技股份有限公司,100.0,True
91,2,002080.SZ,中材科技股份有限公司,81.0,False
91,3,000409.SZ,云鼎科技股份有限公司,80.0,False
92,1,600036.SH,招商银行股份有限公司,83.33,True
92,2,601916.SH,浙商银行股份有限公司,75.0,False
92,3,601398.SH,中国工商银行股份有限公司,69.23,False
93,1,601628.SH,中国人寿保险股份有限公司,77.42,False
93,2,601336.SH,新华人寿保险股份有限公司,75.0,False
93,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
94,1,000016.SZ,康佳集团股份有限公司,80.0,False
94,2,000055.SZ,方大集团股份有限公司,80.0,False
94,3,000333.SZ,美的集团股份有限公司,80.0,False
95,1,300703.SZ,宁波创源文化发展股份有限公司,100.0,True
95,2,000570.SZ,常柴股份有限公司,77.14,False
95,3,000709.SZ,河钢股份有限公司,77.14,False
96,1,600036.SH,招商银行股份有限公司,83.33,True
96,2,601916.SH,浙商银行股份有限公司,75.0,False
96,3,601398.SH,中国工商银行股份有限公司,69.23,False
97,1,603266.SH,宁波天龙电子股份有限公司,100.0,True
97,2,002048.SZ,宁波华翔电子股份有限公司,83.33,False
97,3,002119.SZ,宁波康强电子股份有限公司,83.33,False
98,1,688141.SH,杰华特微电子股份有限公司,100.0,True
98,2,600360.SH,吉林华微电子股份有限公司,83.33,False
98,3,688130.SH,杭州晶华微电子股份有限公司,80.0,False
99,1,688030.SH,山石网科通信技术股份有限公司,100.0,True
99,2,000570.SZ,常柴股份有限公司,77.14,False
99,3,000709.SZ,河钢股份有限公司,77.14,False
100,1,603583.SH,浙江捷昌线性驱动科技股份有限公司,100.0,True
100,2,000409.SZ,云鼎科技股份有限公司,80.0,False
100,3,000551.SZ,创元科技股份有限公司,80.0,False
101,1,689009.SH,九号有限公司,72.0,False
101,2,000752.SZ,西藏发展股份有限公司,67.5,False
101,3,002485.SZ,雪松发展股份有限公司,67.5,False
103,1,003020.SZ,合肥立方制药股份有限公司,100.0,True
103,2,000570.SZ,常柴股份有限公司,77.14,False
103,3,000709.SZ,河钢股份有限公司,77.14,False
105,1,301591.SZ,南京肯特复合材料股份有限公司,100.0,True
105,2,920204.BJ,南京沪江复合材料股份有限公司,85.71,False
105,3,000570.SZ,常柴股份有限公司,77.14,False
106,1,300436.SZ,福建广生堂药业股份有限公司,100.0,True
106,2,002317.SZ,广东众生药业股份有限公司,80.0,False
106,3,000570.SZ,常柴股份有限公司,77.14,False
107,1,002928.SZ,华夏航空股份有限公司,100.0,True
107,2,600015.SH,华夏银行股份有限公司,80.0,False
107,3,601021.SH,春秋航空股份有限公司,80.0,False
108,1,000570.SZ,常柴股份有限公司,67.5,False
108,2,000709.SZ,河钢股份有限公司,67.5,False
108,3,000898.SZ,鞍钢股份有限公司,67.5,False
109,1,601628.SH,中国人寿保险股份有限公司,77.42,False
109,2,601336.SH,新华人寿保险股份有限公司,75.0,False
109,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
110,1,603982.SH,南京泉峰汽车精密技术股份有限公司,100.0,True
110,2,002625.SZ,光启技术股份有限公司,80.0,False
110,3,002815.SZ,崇达技术股份有限公司,80.0,False
111,1,003028.SZ,深圳市振邦智能科技股份有限公司,100.0,True
111,2,001339.SZ,深圳市智微智能科技股份有限公司,86.67,False
111,3,920876.BJ,深圳市慧为智能科技股份有限公司,86.67,False
112,1,300476.SZ,胜宏科技(惠州)股份有限公司,100.0,True
112,2,603344.SH,星德胜科技(苏州)股份有限公司,82.76,False
112,3,300203.SZ,聚光科技(杭州)股份有限公司,78.57,False
113,1,001328.SZ,重庆登康口腔护理用品股份有限公司,100.0,True
113,2,000570.SZ,常柴股份有限公司,77.14,False
113,3,000709.SZ,河钢股份有限公司,77.14,False
114,1,605369.SH,浙江拱东医疗器械股份有限公司,100.0,True
114,2,600587.SH,山东新华医疗器械股份有限公司,78.57,False
114,3,000570.SZ,常柴股份有限公司,77.14,False
115,1,689009.SH,九号有限公司,72.0,False
115,2,688728.SH,格科微有限公司,65.45,False
115,3,688526.SH,武汉科前生物股份有限公司,64.0,False
116,1,301567.SZ,贝隆精密科技股份有限公司,100.0,True
116,2,301326.SZ,捷邦精密科技股份有限公司,83.33,False
116,3,000026.SZ,飞亚达精密科技股份有限公司,80.0,False
117,1,301380.SZ,北京挖金客信息科技股份有限公司,100.0,True
117,2,300895.SZ,北京铜牛信息科技股份有限公司,82.76,False
117,3,000409.SZ,云鼎科技股份有限公司,80.0,False
118,1,688505.SH,上海复旦张江生物医药股份有限公司,100.0,True
118,2,000788.SZ,北大医药股份有限公司,80.0,False
118,3,000963.SZ,华东医药股份有限公司,80.0,False
120,1,300410.SZ,广东正业科技股份有限公司,100.0,True
120,2,002167.SZ,广东东方锆业科技股份有限公司,84.62,False
120,3,001229.SZ,广东魅视科技股份有限公司,83.33,False
121,1,301006.SZ,迈拓仪表股份有限公司,100.0,True
121,2,300371.SZ,汇中仪表股份有限公司,80.0,False
121,3,300445.SZ,北京康斯特仪表科技股份有限公司,72.0,False
122,1,688073.SH,上海毕得医药科技股份有限公司,100.0,True
122,2,688247.SH,上海宣泰医药科技股份有限公司,85.71,False
122,3,603192.SH,上海汇得科技股份有限公司,84.62,False
123,1,001391.SZ,中国国际货运航空股份有限公司,100.0,True
123,2,601111.SH,中国国际航空股份有限公司,92.31,False
123,3,000570.SZ,常柴股份有限公司,77.14,False
124,1,300175.SZ,朗源股份有限公司,84.0,False
124,2,600642.SH,申能股份有限公司,78.75,False
124,3,000570.SZ,常柴股份有限公司,77.14,False
125,1,603288.SH,佛山市海天调味食品股份有限公司,100.0,True
125,2,603517.SH,绝味食品股份有限公司,85.26,False
125,3,000639.SZ,西王食品股份有限公司,80.0,False
127,1,688561.SH,奇安信科技集团股份有限公司,100.0,True
127,2,002212.SZ,天融信科技集团股份有限公司,84.62,False
127,3,001335.SZ,浙江信凯科技集团股份有限公司,81.48,False
128,1,603919.SH,金徽酒股份有限公司,100.0,True
128,2,603132.SH,金徽矿业股份有限公司,84.21,False
128,3,000869.SZ,烟台张裕葡萄酿酒股份有限公司,78.75,False
130,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
130,2,000570.SZ,常柴股份有限公司,67.5,False
130,3,000709.SZ,河钢股份有限公司,67.5,False
131,1,301107.SZ,重庆瑜欣平瑞电子股份有限公司,100.0,True
131,2,000570.SZ,常柴股份有限公司,77.14,False
131,3,000709.SZ,河钢股份有限公司,77.14,False
132,1,600036.SH,招商银行股份有限公司,83.33,True
132,2,601916.SH,浙商银行股份有限公司,75.0,False
132,3,601398.SH,中国工商银行股份有限公司,69.23,False
133,1,002841.SZ,广州视源电子科技股份有限公司,100.0,True
133,2,301528.SZ,广州多浦乐电子科技股份有限公司,82.76,False
133,3,002579.SZ,惠州中京电子科技股份有限公司,78.57,False
134,1,000566.SZ,海南海药股份有限公司,81.82,False
134,2,000570.SZ,常柴股份有限公司,77.14,False
134,3,000709.SZ,河钢股份有限公司,77.14,False
135,1,920029.BJ,成都长城开发科技股份有限公司,100.0,True
135,2,000021.SZ,深圳长城开发科技股份有限公司,85.71,False
135,3,000570.SZ,常柴股份有限公司,77.14,False
136,1,601628.SH,中国人寿保险股份有限公司,77.42,False
136,2,601336.SH,新华人寿保险股份有限公司,75.0,False
136,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
137,1,688332.SH,深圳市中科蓝讯科技股份有限公司,100.0,True
137,2,300042.SZ,深圳市朗科科技股份有限公司,85.71,False
137,3,688788.SH,深圳市科思科技股份有限公司,85.71,False
138,1,002991.SZ,甘源食品股份有限公司,100.0,True
138,2,000639.SZ,西王食品股份有限公司,80.0,False
138,3,001219.SZ,青岛食品股份有限公司,80.0,False
139,1,688627.SH,深圳精智达技术股份有限公司,100.0,True
139,2,300822.SZ,深圳贝仕达克技术股份有限公司,81.48,False
139,3,002957.SZ,深圳科瑞技术股份有限公司,80.0,False
140,1,601611.SH,中国核工业建设股份有限公司,100.0,True
140,2,600150.SH,中国船舶工业股份有限公司,80.0,False
140,3,601669.SH,中国电力建设股份有限公司,80.0,False
141,1,301517.SZ,陕西华达科技股份有限公司,100.0,True
141,2,688281.SH,陕西华秦科技实业股份有限公司,84.62,False
141,3,603358.SH,华达汽车科技股份有限公司,83.33,False
142,1,603109.SH,神驰机电股份有限公司,100.0,True
142,2,300032.SZ,金龙机电股份有限公司,80.0,False
142,3,600835.SH,上海机电股份有限公司,80.0,False
143,1,300984.SZ,浙江金沃精工股份有限公司,100.0,True
143,2,603331.SH,浙江百达精工股份有限公司,83.33,False
143,3,002488.SZ,浙江金固股份有限公司,81.82,False
144,1,000570.SZ,常柴股份有限公司,67.5,False
144,2,000709.SZ,河钢股份有限公司,67.5,False
144,3,000898.SZ,鞍钢股份有限公司,67.5,False
145,1,603998.SH,湖南方盛制药股份有限公司,100.0,True
145,2,002412.SZ,湖南汉森制药股份有限公司,83.33,False
145,3,300267.SZ,湖南尔康制药股份有限公司,83.33,False
146,1,300520.SZ,科大国创软件股份有限公司,100.0,True
146,2,300496.SZ,中科创达软件股份有限公司,83.33,False
146,3,002073.SZ,软控股份有限公司,78.75,False
147,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
147,2,000570.SZ,常柴股份有限公司,67.5,False
147,3,000709.SZ,河钢股份有限公司,67.5,False
149,1,301110.SZ,青木科技股份有限公司,85.26,False
149,2,000409.SZ,云鼎科技股份有限公司,80.0,False
149,3,000551.SZ,创元科技股份有限公司,80.0,False
150,1,920469.BJ,深圳市富恒新材料股份有限公司,100.0,True
150,2,002886.SZ,深圳市沃特新材料股份有限公司,85.71,False
150,3,300811.SZ,深圳市铂科新材料股份有限公司,85.71,False
151,1,603960.SH,上海克来机电自动化工程股份有限公司,100.0,True
151,2,000570.SZ,常柴股份有限公司,77.14,False
151,3,000709.SZ,河钢股份有限公司,77.14,False
152,1,300952.SZ,江苏恒辉安防集团股份有限公司,92.31,True
152,2,000570.SZ,常柴股份有限公司,77.14,False
152,3,000709.SZ,河钢股份有限公司,77.14,False
153,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
153,2,000570.SZ,常柴股份有限公司,67.5,False
153,3,000709.SZ,河钢股份有限公司,67.5,False
154,1,688233.SH,锦州神工半导体股份有限公司,100.0,True
154,2,000570.SZ,常柴股份有限公司,77.14,False
154,3,000709.SZ,河钢股份有限公司,77.14,False
155,1,688233.SH,锦州神工半导体股份有限公司,100.0,True
155,2,000570.SZ,常柴股份有限公司,77.14,False
155,3,000709.SZ,河钢股份有限公司,77.14,False
